grid_id,lat,lon,climate_sequence_id,power_lat,power_lon
AHN-00001,20.90855759799799,47.97197897371524,CLIMS20p75_47p75,20.75,47.75
AHN-00002,20.910234089656207,48.06801003822912,CLIMS20p75_48p25,20.75,48.25
AHN-00003,20.911856721163065,48.16405043982355,CLIMS20p75_48p25,20.75,48.25
AHN-00004,20.99704921354551,47.874082483467035,CLIMS20p75_47p75,20.75,47.75
AHN-00005,20.998787697109915,47.97016132076431,CLIMS20p75_47p75,20.75,47.75
AHN-00006,21.000472089318613,48.06624982566324,CLIMS21p25_48p25,21.25,48.25
AHN-00007,21.002102367708847,48.16234769302862,CLIMS21p25_48p25,21.25,48.25
AHN-00008,21.003678510551612,48.25845461752679,CLIMS21p25_48p25,21.25,48.25
AHN-00009,21.005200496817764,48.35457029372655,CLIMS21p25_48p25,21.25,48.25
AHN-00010,21.087270042449962,47.87219744373989,CLIMS21p25_47p75,21.25,47.75
AHN-00011,21.089016689572723,47.96833400018251,CLIMS21p25_47p75,21.25,47.75
AHN-00012,21.090708991509004,48.06448025059923,CLIMS21p25_48p25,21.25,48.25
AHN-00013,21.092346925680825,48.16063588904272,CLIMS21p25_48p25,21.25,48.25
AHN-00014,21.093930470242768,48.25680060935014,CLIMS21p25_48p25,21.25,48.25
AHN-00015,21.095459604055108,48.35297410524506,CLIMS21p25_48p25,21.25,48.25
AHN-00016,21.096934306703346,48.44915607024072,CLIMS21p25_48p25,21.25,48.25
AHN-00017,21.177489750974637,47.87030240420644,CLIMS21p25_47p75,21.25,47.75
AHN-00018,21.179244571181208,47.966496985576065,CLIMS21p25_47p75,21.25,47.75
AHN-00019,21.180944792081753,48.06270128748988,CLIMS21p25_48p25,21.25,48.25
AHN-00020,21.1825903909793,48.158915003140685,CLIMS21p25_48p25,21.25,48.25
AHN-00021,21.18418134590494,48.25513782557095,CLIMS21p25_48p25,21.25,48.25
AHN-00022,21.185717635609585,48.351369447611084,CLIMS21p25_48p25,21.25,48.25
AHN-00023,21.187199239565306,48.44760956201146,CLIMS21p25_48p25,21.25,48.25
AHN-00024,21.188626137987644,48.54385786126536,CLIMS21p25_48p75,21.25,48.75
AHN-00025,21.189998311795577,48.64011403780119,CLIMS21p25_48p75,21.25,48.75
AHN-00026,21.267708334833927,47.868397337473546,CLIMS21p25_47p75,21.25,47.75
AHN-00027,21.26947133771013,47.96465025039552,CLIMS21p25_47p75,21.25,47.75
AHN-00028,21.27117948687354,48.06091291059535,CLIMS21p25_48p25,21.25,48.25
AHN-00029,21.27283275950007,48.15718501043808,CLIMS21p25_48p25,21.25,48.25
AHN-00030,21.274431133494325,48.25346624211509,CLIMS21p25_48p25,21.25,48.25
AHN-00031,21.27597458749498,48.34975629763234,CLIMS21p25_48p25,21.25,48.25
AHN-00032,21.27746310086759,48.44605486885887,CLIMS21p25_48p25,21.25,48.25
AHN-00033,21.27889665369943,48.54236164750879,CLIMS21p25_48p75,21.25,48.75
AHN-00034,21.280275226838846,48.63867632510484,CLIMS21p25_48p75,21.25,48.75
AHN-00035,21.281598801839746,48.73499859307782,CLIMS21p25_48p75,21.25,48.75
AHN-00036,21.356099509826073,47.77018074653024,CLIMS21p25_47p75,21.25,47.75
AHN-00037,21.357925789775155,47.866482215961625,CLIMS21p25_47p75,21.25,47.75
AHN-00038,21.35969698497118,47.962793767895704,CLIMS21p25_47p75,21.25,47.75
AHN-00039,21.361413071739676,48.059115094031874,CLIMS21p25_48p25,21.25,48.25
AHN-00040,21.36307402714333,48.15544588587305,CLIMS21p25_48p25,21.25,48.25
AHN-00041,21.3646798289526,48.25178583476953,CLIMS21p25_48p25,21.25,48.25
AHN-00042,21.366230455701572,48.34813463190644,CLIMS21p25_48p25,21.25,48.25
AHN-00043,21.367725886641722,48.44449196827652,CLIMS21p25_48p25,21.25,48.25
AHN-00044,21.36916610176751,48.54085753475162,CLIMS21p25_48p75,21.25,48.75
AHN-00045,21.370551081793685,48.637231022021425,CLIMS21p25_48p75,21.25,48.75
AHN-00046,21.371880808183885,48.7336121206446,CLIMS21p25_48p75,21.25,48.75
AHN-00047,21.37315526314129,48.83000052103201,CLIMS21p25_48p75,21.25,48.75
AHN-00048,21.446307374691074,47.768196623113845,CLIMS21p25_47p75,21.25,47.75
AHN-00049,21.44814211154722,47.86455701192014,CLIMS21p25_47p75,21.25,47.75
AHN-00050,21.449921508768714,47.960927511166595,CLIMS21p25_47p75,21.25,47.75
AHN-00051,21.45164554255069,48.05730781170935,CLIMS21p25_48p25,21.25,48.25
AHN-00052,21.453314189821352,48.15369760421286,CLIMS21p25_48p25,21.25,48.25
AHN-00053,21.454927428259875,48.25009657917073,CLIMS21p25_48p25,21.25,48.25
AHN-00054,21.456485236263,48.3465044268988,CLIMS21p25_48p25,21.25,48.25
AHN-00055,21.45798759297558,48.44292083756557,CLIMS21p25_48p25,21.25,48.25
AHN-00056,21.45943447827953,48.5393455011675,CLIMS21p25_48p75,21.25,48.75
AHN-00057,21.46082587279012,48.63577810755234,CLIMS21p25_48p75,21.25,48.75
AHN-00058,21.46216175788078,48.7322183464221,CLIMS21p25_48p75,21.25,48.75
AHN-00059,21.46344211564056,48.82866590731374,CLIMS21p25_48p75,21.25,48.75
AHN-00060,21.46466692891733,48.925120479696595,CLIMS21p25_48p75,21.25,48.75
AHN-00061,21.53835729589027,47.8626216973953,CLIMS21p75_47p75,21.75,47.75
